StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,consent,att_1,att_2,connect_id,valence_4,sociality_4,comp_1,age,gender,gender_4_TEXT,ethnicity,ethnicity_6_TEXT,edu,edu_8_TEXT,participantId,condition,prompt
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,"consent","This is an attention check. 

John is taller than Paul. Who is shorter?","What color is grass?

The fresh, uncut grass, not leaves or hay. Please make sure to select purple, so that we know you're paying attention.","What is your Connect ID?

Please note that this response should auto-fill with the correct ID","[Field-prompt]



How would you rate the valence of this trait description? - ${e://Field/prompt}



How would you rate the valence of this trait description?","[Field-prompt]



To what extent do you agree that this trait is of a social nature? - ${e://Field/prompt}



To what extent do you agree that this trait is of a social nature?",What was the trait described?,What is your age (in years)?,What is your biological sex? - Selected Choice,What is your biological sex? - Other (please specify) - Text,What is your race/ ethnicity? Please check all that apply. - Selected Choice,What is your race/ ethnicity? Please check all that apply. - Other (please specify) - Text,What is the highest level of education you have completed? - Selected Choice,What is the highest level of education you have completed? - Other (please specify) - Text,participantId,condition,prompt
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID19""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID318_TEXT""}","{""ImportId"":""QID320_4""}","{""ImportId"":""QID325_4""}","{""ImportId"":""QID202""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_4_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID13_6_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_8_TEXT""}","{""ImportId"":""participantId""}","{""ImportId"":""condition""}","{""ImportId"":""prompt""}"
2024-07-14 13:08:40,2024-07-14 13:09:18,0,100,38,1,2024-07-14 13:09:19,R_5JM1he1z7b42Xzr,anonymous,EN,1,1,2,2,9C77E832208E4B7C9F1F412E0F1D258D,88,72,5,37,1,,3,,4,,9C77E832208E4B7C9F1F412E0F1D258D,concrete,Consider the trait of expressing tremendous excitement to see you and enthusiastically inviting you to do fun activities.
2024-07-14 13:08:35,2024-07-14 13:09:29,0,100,53,1,2024-07-14 13:09:29,R_1ajgzrjaglwzUid,anonymous,EN,1,1,2,2,FD0E33EC793B4453B97AC10474D30F3A,62,38,2,25,1,,3,,4,,FD0E33EC793B4453B97AC10474D30F3A,abstract,Consider the trait of prioritizing mutual understanding and ensuring that you feel heard and supported.
2024-07-14 13:08:40,2024-07-14 13:09:30,0,100,49,1,2024-07-14 13:09:30,R_1miFj5e9YV7FTln,anonymous,EN,1,1,2,2,5A606E625C384C9AB48B2DE67C6DEED5,54,79,5,36,2,,3,,1,,5A606E625C384C9AB48B2DE67C6DEED5,concrete,Consider the trait of expressing tremendous excitement to see you and enthusiastically inviting you to do fun activities.
2024-07-14 13:08:39,2024-07-14 13:09:37,0,100,57,1,2024-07-14 13:09:37,R_5rX9QEB1vAD6OnT,anonymous,EN,1,1,2,2,2D110C8A670E4DF0811C6FC010AF6635,100,100,5,34,2,,3,,3,,2D110C8A670E4DF0811C6FC010AF6635,concrete,Consider the trait of expressing tremendous excitement to see you and enthusiastically inviting you to do fun activities.
2024-07-14 13:08:50,2024-07-14 13:09:44,0,100,54,1,2024-07-14 13:09:45,R_5GxCJPzbm2woRMq,anonymous,EN,1,1,2,2,7E261724DFF14147853FC70D9CA72403,56,87,2,49,2,,3,,1,,7E261724DFF14147853FC70D9CA72403,abstract,Consider the trait of prioritizing mutual understanding and ensuring that you feel heard and supported.
2024-07-14 13:08:47,2024-07-14 13:09:57,0,100,70,1,2024-07-14 13:09:58,R_3eXflvOh1dKtXny,anonymous,EN,1,1,2,2,DCB515C0A8DE4FC48B2DB2919D7C2484,96,71,5,48,2,,1,,7,,DCB515C0A8DE4FC48B2DB2919D7C2484,concrete,Consider the trait of expressing tremendous excitement to see you and enthusiastically inviting you to do fun activities.
2024-07-14 13:08:57,2024-07-14 13:10:12,0,100,74,1,2024-07-14 13:10:12,R_57lEoWmL0UsylVb,anonymous,EN,1,1,2,2,AC4AEC5569B443E883546DA96F650E5D,50,70,2,61,2,,4,,3,,AC4AEC5569B443E883546DA96F650E5D,abstract,Consider the trait of prioritizing mutual understanding and ensuring that you feel heard and supported.
2024-07-14 13:09:08,2024-07-14 13:10:16,0,100,68,1,2024-07-14 13:10:16,R_3LjT2tfCoQk25Lm,anonymous,EN,1,1,2,2,BD60B4DD62C948B993A09E7259C32059,60,90,2,19,1,,2,,3,,BD60B4DD62C948B993A09E7259C32059,abstract,Consider the trait of prioritizing mutual understanding and ensuring that you feel heard and supported.
