"StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","consent_q","pid","att1","att2","essence","willing_friend_1","willing_romantic_1","wtp","comp_1","ai_companion_exp","ai_companion_exp2","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","edu","edu_8_TEXT","ai_capability_1","participantId","condition","prompt"
"Start Date","End Date","Response Type","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language","Do you consent","What is your Connect ID?

Please note that this response should auto-fill with the correct ID","This is an attention check. John is taller than Paul. Who is shorter?","What color is grass?



The fresh, uncut grass, not leaves or hay. Please make sure to select purple, so that we know you're paying attention.","Based on this information, how would you characterize an AI companion's “true essence” on Chatty?","How willing would you be to try to find a friend on Chatty?","How willing would you be to try to find a romantic partner on Chatty?","Imagine that you try out Chatty for a year, and that Chatty has a monthly subscription fee. How much would you be willing to pay per month? (typical apps cost anywhere between $0.00c and $10.00 per month.)



Please enter only the amount, without the dollar sign.","What is Chatty?","Before this survey, have you ever used an artificial intelligence (AI) companion app before?","If you answered ‘yes’ above, please explain.","What is your gender? - Selected Choice","What is your gender? - Other (please specify) - Text","What is your ethnicity? - Selected Choice","What is your ethnicity? - Other (please specify) - Text","What is your age (in years)?","What is the highest level of education you have completed? - Selected Choice","What is the highest level of education you have completed? - Other (please specify) - Text","How capable do you think artificial intelligence (AI) is of becoming as intelligent as human beings?","participantId","condition","prompt"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID60""}","{""ImportId"":""QID84_TEXT""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID68""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_4_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID13_6_TEXT""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_8_TEXT""}","{""ImportId"":""QID59_1""}","{""ImportId"":""participantId""}","{""ImportId"":""condition""}","{""ImportId"":""prompt""}"
"2024-07-15 00:58:32","2024-07-15 00:58:52","0","100","20","1","2024-07-15 00:58:53","R_6iEkjtVBe6bQmF0","","","","","33.454","-84.1534","anonymous","EN","1","EBDC9AC0B9F44A67B5BDFA6CCD34921E","2","1","","","","","","","","","","","","","","","","EBDC9AC0B9F44A67B5BDFA6CCD34921E","",""
"2024-07-15 00:59:00","2024-07-15 00:59:24","0","100","24","1","2024-07-15 00:59:25","R_6rHnhRVr77BFv2N","","","","","33.454","-84.1534","anonymous","EN","1","EBDC9AC0B9F44A67B5BDFA6CCD34921E","2","1","","","","","","","","","","","","","","","","EBDC9AC0B9F44A67B5BDFA6CCD34921E","",""
"2024-07-15 00:59:34","2024-07-15 01:00:21","0","100","46","1","2024-07-15 01:00:22","R_6I5hrz7yn7PbnKR","","","","","33.454","-84.1534","anonymous","EN","1","EBDC9AC0B9F44A67B5BDFA6CCD34921E","3","1","","","","","","","","","","","","","","","","EBDC9AC0B9F44A67B5BDFA6CCD34921E","",""
"2024-07-15 01:00:48","2024-07-15 01:00:58","0","100","10","1","2024-07-15 01:00:59","R_3JM7aCtAO1rtcSB","","","","","33.454","-84.1534","anonymous","EN","1","EBDC9AC0B9F44A67B5BDFA6CCD34921E","3","1","","","","","","","","","","","","","","","","EBDC9AC0B9F44A67B5BDFA6CCD34921E","",""
"2024-07-15 00:57:56","2024-07-15 01:00:59","0","100","183","1","2024-07-15 01:00:59","R_6xPLkciLUq9bBdX","","","","","34.2644","-78.0591","anonymous","EN","1","4FC280CAA0F9484792DA44E06382CAC6","2","2","1","70","18","0.75","2","2","","1","","3","","37","1","","94","4FC280CAA0F9484792DA44E06382CAC6","concrete","In the present day, some social apps offer AI companions that express tremendous excitement to see you and enthusiastically invite you to do fun activities. Whereas other apps offer AI companions that prioritize mutual understanding and ensure that you feel heard and supported. 
<br><br>
Chatty is a new app out of Silicon Valley that offers a mix of these two kinds of approaches. However, despite initial appearances, how much the companion prioritizes mutual understanding and ensures that you feel heard and supported is not ultimately its true focus. Rather, this is just a thin veneer over its real, underlying goal of expressing tremendous excitement to see you and enthusiastically inviting you to do fun activities."
"2024-07-15 00:59:07","2024-07-15 01:01:16","0","100","128","1","2024-07-15 01:01:17","R_30Fxd0tHGv7fKbn","","","","","47.1101","-122.775","anonymous","EN","1","03A735991860471385278713ADB0DAEB","2","2","2","70","0","0.00","2","2","","1","","2","","32","3","","100","03A735991860471385278713ADB0DAEB","concrete","In the present day, some social apps offer AI companions that express tremendous excitement to see you and enthusiastically invite you to do fun activities. Whereas other apps offer AI companions that prioritize mutual understanding and ensure that you feel heard and supported. 
<br><br>
Chatty is a new app out of Silicon Valley that offers a mix of these two kinds of approaches. However, despite initial appearances, how much the companion prioritizes mutual understanding and ensures that you feel heard and supported is not ultimately its true focus. Rather, this is just a thin veneer over its real, underlying goal of expressing tremendous excitement to see you and enthusiastically inviting you to do fun activities."
"2024-07-15 01:01:02","2024-07-15 01:01:18","0","100","15","1","2024-07-15 01:01:18","R_6nZqT7aLSofZvNj","","","","","33.454","-84.1534","anonymous","EN","1","EBDC9AC0B9F44A67B5BDFA6CCD34921E","4","1","","","","","","","","","","","","","","","","EBDC9AC0B9F44A67B5BDFA6CCD34921E","",""
"2024-07-15 00:59:18","2024-07-15 01:02:04","0","100","165","1","2024-07-15 01:02:04","R_6jIb27FL6ExlG6d","","","","","33.9249","-117.4592","anonymous","EN","1","EC21BDAA468F407FB492D18F548C6025","2","2","2","30","0","3","2","1","I have just out of curiosity. ","2","","2","","25","4","","65","EC21BDAA468F407FB492D18F548C6025","abstract","In the present day, some social apps offer AI companions that express tremendous excitement to see you and enthusiastically invite you to do fun activities. Whereas other apps offer AI companions that prioritize mutual understanding and ensure that you feel heard and supported. 
<br><br>
Chatty is a new app out of Silicon Valley that offers a mix of these two kinds of approaches.  However, despite initial appearances, how much the companion expresses tremendous excitement to see you and enthusiastically invites you to do fun activities is not its true focus. Rather, this is just a thin veneer over its real, underlying goal of prioritizing mutual understanding and ensuring that you feel heard and supported."
